No saved genome found.
Genome 34: Fitness 84.02
Genome 35: Fitness 59.92
Genome 36: Fitness 42.90
Genome 37: Fitness 45.26
Genome 38: Fitness 32.95
Genome 39: Fitness 81.78
Genome 40: Fitness 9.32
Genome 41: Fitness 39.11
Genome 42: Fitness 43.93
Genome 43: Fitness 29.87
Genome 44: Fitness 81.94
Genome 45: Fitness 37.74
Genome 46: Fitness 44.33
Genome 47: Fitness 31.79
Genome 48: Fitness 31.34
Genome 49: Fitness 7.47
Genome 50: Fitness 60.71
Best fitness: 92.84
Saved best genome to bestModels/bestGenome__g100_m0.1_p50_uniform_gen100_e3_pop2_p50_e3.json
Generation 7/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 90.96
Genome 4: Fitness 85.98
Genome 5: Fitness 49.16
Genome 6: Fitness 83.90
Genome 7: Fitness 76.86
Genome 8: Fitness 79.62
Genome 9: Fitness 43.32
Genome 10: Fitness 86.59
Genome 11: Fitness 78.07
Genome 12: Fitness 75.37
Genome 13: Fitness 23.94
Genome 14: Fitness 56.05
Genome 15: Fitness 77.35
Genome 16: Fitness 76.41
Genome 17: Fitness 72.32
Genome 18: Fitness 36.20
Genome 19: Fitness 25.30
Genome 20: Fitness 24.96
Genome 21: Fitness 61.25
Genome 22: Fitness 33.07
Genome 23: Fitness 67.85
Genome 24: Fitness 87.64
Genome 25: Fitness 33.45
Genome 26: Fitness 31.12
Genome 27: Fitness 70.64
Genome 28: Fitness 43.98
Genome 29: Fitness 32.67
Genome 30: Fitness 37.42
Genome 31: Fitness 41.66
Genome 32: Fitness 84.61
Genome 33: Fitness 46.24
Genome 34: Fitness 58.01
Genome 35: Fitness 49.62
Genome 36: Fitness 56.82
Genome 37: Fitness 37.15
Genome 38: Fitness 45.19
Genome 39: Fitness 82.31
Genome 40: Fitness 68.88
Genome 41: Fitness 69.03
Genome 42: Fitness 53.40
Genome 43: Fitness 80.27
Genome 44: Fitness 67.41
Genome 45: Fitness 51.48
Genome 46: Fitness 29.23
Genome 47: Fitness 58.93
Genome 48: Fitness 32.79
Genome 49: Fitness 89.67
Genome 50: Fitness 89.41
Best fitness: 92.84
